SalePrice,LotArea,ExterQual,OverallQual,GrLivArea,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageCars,GarageType,TotalBsmtSF,FullBath,PoolArea,Heating,KitchenQual,Neighborhood
68500,6324,TA,4,520,4,1927,1950,1,Detchd,520,1,0,GasA,Fa,BrkSide
40000,8500,TA,4,1317,6,1920,1950,1,Detchd,649,1,0,GasA,TA,IDOTRR
149350,8544,TA,5,1228,6,1966,2006,1,Attchd,1228,1,0,GasA,Gd,Sawyer
179900,11049,Gd,8,1234,7,2007,2007,2,Attchd,1234,2,0,GasA,Gd,CollgCr
165500,10552,TA,5,1700,6,1959,1959,2,Attchd,1398,1,0,GasA,Gd,NAmes
277500,7313,Ex,9,1561,6,2005,2005,2,Attchd,1561,2,0,GasA,Ex,NridgHt
309000,13418,Gd,8,2452,9,2004,2005,3,Not Applicable,1117,3,0,GasA,Gd,NridgHt
145000,10859,TA,5,1097,6,1994,1995,2,Attchd,1097,1,0,GasA,TA,CollgCr
153000,8532,TA,5,1297,5,1954,1990,2,Attchd,1297,1,0,GasA,TA,NAmes
109000,7922,TA,5,1057,5,1953,2007,1,Detchd,1057,1,0,GasA,Gd,NAmes
82000,6040,TA,4,1152,6,1955,1955,0,Not Applicable,0,2,0,GasA,Fa,Edwards
160000,8658,TA,6,1324,6,1965,1965,2,Attchd,1088,2,0,GasA,TA,NAmes
170000,16905,TA,5,1328,5,1959,1959,1,Attchd,1350,1,0,GasA,TA,Timber
144000,9180,TA,5,884,5,1983,1983,2,Attchd,840,1,0,GasA,Gd,SawyerW
130250,9200,TA,5,938,5,1975,1980,1,Detchd,938,1,0,GasA,TA,CollgCr
141000,7945,TA,5,1150,6,1959,1959,1,Attchd,1150,1,0,GasA,TA,NAmes
319900,7658,Ex,9,1752,6,2005,2005,2,Attchd,1752,2,0,GasA,Ex,NridgHt
239686,12822,Gd,7,2149,6,2003,2003,2,Attchd,1434,1,0,GasA,Gd,Mitchel
249700,11096,Gd,8,1656,7,2006,2006,3,Attchd,1656,2,0,GasA,Gd,Somerst
113000,4456,TA,4,1452,8,1920,2008,0,Not Applicable,736,2,0,GasA,TA,OldTown
127000,7742,TA,5,955,6,1966,1966,1,Attchd,955,1,0,GasA,TA,Sawyer
177000,13869,TA,6,1470,6,1997,1997,2,Attchd,794,2,0,GasA,TA,Gilbert
114500,6240,TA,6,1176,6,1934,1950,2,Detchd,816,1,0,GasA,TA,BrkSide
110000,8472,Fa,5,816,5,1963,1963,2,Not Applicable,816,1,0,GasA,TA,IDOTRR
130000,7134,TA,5,1360,6,1955,1955,2,Detchd,384,1,0,GasA,TA,NAmes
180500,10175,TA,6,1425,7,1964,1964,2,Attchd,1425,2,0,GasA,TA,NAmes
172500,2645,Gd,8,1739,7,1999,2000,2,Attchd,970,2,0,GasA,Gd,Somerst
196500,11645,Gd,7,1720,7,2004,2004,2,Attchd,860,2,0,GasA,Gd,CollgCr
124900,7200,TA,5,780,4,1972,1972,1,Detchd,780,1,0,GasA,TA,CollgCr
158000,13072,TA,6,1158,5,2004,2004,2,Detchd,1158,1,0,GasA,Gd,SawyerW
101000,7200,TA,5,1111,6,1920,1996,1,Detchd,530,1,0,GasA,Fa,IDOTRR
202500,6442,Gd,8,1370,6,2006,2006,2,Attchd,1370,2,0,GasA,Gd,NridgHt
140000,10300,TA,7,1710,9,1921,1950,2,Detchd,576,2,0,GasA,TA,OldTown
219500,9375,TA,7,2034,8,1997,1998,2,Attchd,1057,2,0,GasA,Gd,CollgCr
317000,9591,Gd,8,2473,9,2004,2005,3,Not Applicable,1143,2,0,GasA,Gd,NridgHt
180000,19900,TA,7,2207,7,1970,1989,2,Attchd,1947,2,0,GasA,TA,NAmes
226000,10665,Gd,7,1479,7,2003,2003,2,Attchd,1453,2,0,GasA,Gd,CollgCr
80000,4608,TA,4,747,4,1945,1950,1,Attchd,747,1,0,GasA,TA,OldTown
225000,15593,Gd,7,2287,7,1953,1953,2,Attchd,1304,2,0,GasW,TA,ClearCr
244000,13651,TA,7,2223,8,1973,1973,2,Attchd,2223,2,0,GasA,TA,NAmes
129500,7599,TA,4,845,4,1982,2006,2,Detchd,845,1,0,GasA,TA,Mitchel
185000,10141,TA,7,1718,7,1998,1998,2,Attchd,832,2,0,GasA,TA,Gilbert
144900,10200,TA,5,1086,6,1954,2003,2,Attchd,1086,1,0,GasA,TA,NAmes
107400,5790,Gd,3,1605,8,1915,1950,1,Detchd,840,2,0,GasA,TA,OldTown
91000,1596,TA,4,988,5,1973,1973,1,Not Applicable,462,1,0,GasA,TA,MeadowV
135750,8475,TA,4,952,4,1956,1956,1,Detchd,952,1,0,GasA,TA,NAmes
127000,8635,TA,5,1285,6,1948,2001,1,Detchd,672,1,0,GasA,TA,BrkSide
136500,10778,TA,4,1768,8,1968,1968,0,Not Applicable,1768,2,0,GasA,TA,Sawyer
110000,10440,TA,5,1230,5,1910,1981,2,Detchd,440,1,0,GasA,TA,OldTown
193500,13000,TA,6,2142,8,1968,1968,1,Attchd,896,2,0,GasA,Gd,NAmes
153500,4500,TA,6,1337,5,1998,1998,2,Attchd,1237,2,0,GasA,TA,Mitchel
245000,10206,TA,8,1563,6,2007,2007,3,Attchd,1563,2,0,GasA,Gd,Somerst
126500,8892,TA,5,1065,6,1960,1960,2,Detchd,1065,1,0,GasA,TA,NAmes
168500,8530,TA,7,1474,7,1995,1996,2,Not Applicable,384,2,0,GasA,TA,Gilbert
260000,16059,Gd,8,2417,9,1991,1992,2,Attchd,1288,2,0,GasA,Gd,NoRidge
174000,11911,Gd,6,1560,6,2005,2005,2,Not Applicable,684,2,0,GasA,Gd,Gilbert
164500,3951,Gd,6,1224,4,2009,2009,2,Detchd,612,2,0,GasA,Gd,Somerst
85000,8470,Fa,3,1526,6,1915,1982,0,Not Applicable,1013,1,0,GasA,Fa,IDOTRR
123600,8070,TA,4,990,5,1994,1995,0,Not Applicable,990,1,0,GasA,TA,CollgCr
109900,7200,TA,4,1040,4,1950,1950,2,Detchd,0,1,0,GasA,TA,NAmes
98600,8500,TA,5,1235,6,1961,1961,2,Attchd,1235,1,0,GasA,TA,NAmes
163500,13360,TA,5,964,5,1921,2006,2,Detchd,876,1,0,GasA,TA,Crawfor
133900,7200,TA,6,2291,9,1910,1998,2,Detchd,1214,2,0,GasW,TA,OldTown
204750,9337,TA,6,1786,7,1997,1997,2,Attchd,824,2,0,GasA,Gd,CollgCr
185000,9765,Ex,6,1470,6,1993,1993,2,Not Applicable,680,2,0,GasA,TA,Gilbert
214000,10264,Gd,7,1588,6,1999,1999,2,Attchd,1588,2,0,GasA,Gd,CollgCr
94750,10921,TA,4,960,6,1965,1965,1,Attchd,960,1,0,GasA,TA,Edwards
83000,10625,TA,5,835,5,1920,1950,1,Not Applicable,458,1,0,GasA,TA,Edwards
128950,9320,TA,4,1225,6,1959,1959,0,Not Applicable,950,1,0,GasA,TA,NAmes
205000,10603,TA,6,1610,6,1977,2001,2,Attchd,1610,2,0,GasA,Gd,NWAmes
178000,9206,Gd,6,1732,7,1985,1985,2,Attchd,741,2,0,GasA,Gd,SawyerW
118964,7018,TA,5,1535,8,1979,1979,2,Attchd,0,2,0,GasA,TA,SawyerW
198900,10402,TA,7,1226,6,2009,2009,3,Attchd,1226,2,0,GasA,Gd,CollgCr
169500,7758,TA,7,1818,7,1931,1950,1,Detchd,1040,1,0,GasA,TA,IDOTRR
250000,9375,Gd,8,1992,9,2003,2004,2,Attchd,1053,2,0,GasA,Gd,Somerst
100000,10800,TA,4,1047,6,1885,1995,1,Detchd,641,1,0,GasA,TA,OldTown
115000,6000,TA,5,789,5,1948,1950,1,Detchd,789,1,0,GasA,TA,OldTown
115000,8500,TA,5,1517,7,1919,2005,0,Not Applicable,793,2,0,GasW,Fa,IDOTRR
190000,11751,TA,6,1844,7,1977,1977,2,Attchd,1844,2,0,GasA,TA,NWAmes
136900,9525,TA,6,1855,7,1954,1972,1,Attchd,994,2,0,GasA,TA,Edwards
180000,7750,TA,7,1430,7,2000,2000,2,Not Applicable,384,2,0,GasA,TA,Gilbert
383970,9965,Gd,7,2696,10,2007,2007,3,Not Applicable,1264,2,0,GasA,Ex,CollgCr
217000,21000,TA,6,2259,7,1953,1953,2,Not Applicable,1809,2,0,GasA,Gd,Crawfor
259500,7259,TA,6,2320,9,1945,2002,1,Detchd,1028,2,0,GasA,Gd,Crawfor
176000,3230,TA,6,1458,5,1999,1999,2,Detchd,729,2,0,GasA,TA,Somerst
139000,11616,TA,5,1092,6,1962,1962,1,Attchd,1092,1,0,GasA,TA,Sawyer
155000,8536,TA,5,1125,5,2006,2007,2,Attchd,1125,1,0,GasA,TA,Edwards
163990,8461,Gd,6,1456,8,2005,2006,2,Attchd,728,2,0,GasA,Gd,CollgCr
180000,21453,TA,6,988,4,1969,1969,2,Attchd,938,1,0,GasA,TA,ClearCr
100000,6060,TA,4,1123,4,1939,1950,1,Detchd,732,1,0,GasA,TA,IDOTRR
136000,9464,TA,6,1080,5,1958,1958,1,Attchd,1080,1,0,GasA,TA,NAmes
153900,7892,Gd,6,1199,5,1993,1993,2,Attchd,1199,2,0,GasA,Gd,SawyerW
181000,17043,TA,6,1586,7,1979,1998,2,Attchd,1362,2,0,GasA,TA,NWAmes
84500,6780,TA,6,754,5,1935,1982,0,Not Applicable,520,1,0,GasA,TA,IDOTRR
128000,4928,TA,6,958,5,1976,1976,2,Attchd,1078,2,0,GasA,TA,NPkVill
87000,4388,TA,5,840,5,1930,1950,0,Not Applicable,672,1,0,GasA,TA,OldTown
155000,7590,TA,6,1348,6,1966,1966,2,Attchd,660,1,0,GasA,TA,NAmes
150000,8973,TA,5,1053,6,1958,1991,2,Not Applicable,1008,1,0,GasA,Ex,NAmes
226000,14200,TA,7,2157,8,1966,1966,2,Attchd,924,2,0,GasA,Gd,NAmes
244000,12224,Gd,6,2054,7,2000,2000,2,Not Applicable,992,2,0,GasA,Gd,Gilbert
150750,7388,TA,5,1327,7,1959,2002,2,Detchd,1063,1,0,GasA,Gd,NAmes
220000,6853,Gd,8,1296,6,2001,2002,2,Attchd,1267,2,0,GasA,Gd,Timber
180000,10335,TA,5,1721,7,1968,1993,2,Attchd,1461,2,0,GasA,TA,Sawyer
174000,10400,TA,7,1682,7,1970,1970,2,Attchd,1304,2,0,GasA,TA,NWAmes
143000,10355,TA,5,1214,5,1967,1967,1,Attchd,1214,2,0,GasA,TA,NAmes
171000,11070,TA,7,1959,9,1988,1989,3,Not Applicable,1907,3,0,GasA,TA,Mitchel
230000,9066,Gd,8,1852,7,1999,2000,3,Attchd,1004,2,0,GasA,Gd,CollgCr
231500,15426,TA,6,1764,7,1997,1997,2,Attchd,928,2,0,GasA,Gd,CollgCr
115000,10500,TA,4,864,5,1971,1971,0,Not Applicable,864,1,0,GasA,TA,NAmes
260000,11645,Gd,7,1734,7,2005,2005,2,Attchd,1734,2,0,GasA,Gd,CollgCr
166000,8520,TA,5,1385,6,1952,1952,2,Detchd,910,2,0,GasA,TA,NAmes
204000,10335,Gd,7,1501,6,1999,1999,2,Attchd,1490,2,0,GasA,Gd,CollgCr
125000,9100,TA,5,1728,10,1963,1963,2,Detchd,1728,2,0,GasA,TA,Sawyer
130000,2522,Gd,6,1709,7,2004,2006,2,Detchd,970,2,0,GasA,Gd,Edwards
105000,6120,TA,5,875,5,1931,1993,1,Detchd,715,1,0,GasA,TA,BrkSide
222500,9505,Gd,7,2035,8,2001,2001,2,Not Applicable,884,2,0,GasA,Gd,Gilbert
141000,7500,TA,7,1080,6,2004,2005,0,Not Applicable,1080,1,0,GasA,Gd,SawyerW
115000,6240,TA,5,1344,7,1936,1950,1,Detchd,896,1,0,GasA,TA,BrkSide
122000,10356,TA,5,969,5,1975,1975,2,Attchd,969,1,0,GasA,TA,CollgCr
372402,13891,Gd,8,1710,6,2007,2008,3,Attchd,1710,2,0,GasA,Gd,NridgHt
190000,14803,TA,6,1993,8,1971,1971,2,Attchd,825,2,0,GasA,TA,NWAmes
235000,13500,TA,6,1252,4,1960,1975,2,Attchd,1602,1,0,GasA,TA,ClearCr
125000,11340,TA,6,1200,7,1923,1950,1,Detchd,1200,1,0,GasA,TA,OldTown
79000,9600,TA,6,1096,5,1924,1950,0,Not Applicable,572,1,0,Grav,TA,Edwards
109500,7200,TA,5,1040,5,1950,1950,2,Detchd,0,1,0,GasA,TA,NAmes
269500,12003,Gd,8,1968,8,2009,2010,3,Not Applicable,774,2,0,GasA,Ex,Timber
254900,12552,Gd,7,1947,8,2004,2005,2,Attchd,991,2,0,GasA,Gd,Somerst
320000,19378,Gd,7,2462,9,2005,2006,2,Attchd,1392,2,0,GasA,Gd,Gilbert
162500,11120,TA,6,1232,6,1984,1984,2,Attchd,1232,2,0,GasA,TA,Veenker
412500,13688,Gd,9,2668,10,2003,2004,3,Not Applicable,1572,2,0,GasA,Ex,NridgHt
220000,12182,Gd,7,1541,7,2005,2005,2,Attchd,1541,2,0,GasA,Gd,NridgHt
103200,5500,TA,4,882,4,1956,1956,0,Not Applicable,882,1,0,GasA,TA,OldTown
152000,5400,TA,6,1616,5,1926,2004,1,Detchd,1149,2,0,GasA,Gd,OldTown
127500,10106,TA,5,1355,6,1940,1999,0,Not Applicable,644,2,0,GasA,TA,Edwards
190000,10708,Gd,5,1867,7,1955,1993,1,Attchd,1617,1,0,GasA,TA,ClearCr
325624,10562,Gd,8,2161,8,2007,2007,3,Attchd,1582,1,0,GasA,Ex,NridgHt
183500,8244,Gd,7,1720,7,2004,2004,2,Attchd,840,2,0,GasA,Gd,Gilbert
228000,16669,Gd,8,1707,6,1981,1981,2,Attchd,1686,2,0,GasA,TA,Timber
128500,12358,TA,5,1382,7,1941,1950,2,Detchd,720,1,0,GasA,TA,OldTown
215000,31770,TA,6,1656,7,1960,1960,2,Attchd,1080,1,0,GasA,TA,NAmes
239000,5306,Gd,7,1767,5,1987,1987,2,Attchd,1064,2,0,GasA,Gd,StoneBr
163000,10197,TA,6,1362,6,1961,1961,2,Attchd,1362,1,0,GasA,TA,NAmes
184000,12416,TA,6,1651,7,1986,1986,2,Attchd,1606,2,0,GasA,TA,Timber
243000,12615,TA,6,2158,7,1950,2001,2,Attchd,1202,2,0,GasA,Gd,Edwards
211000,10029,Gd,6,2060,8,1988,1989,2,Attchd,1151,2,0,GasA,TA,ClearCr
172500,13650,Gd,5,1920,8,1958,1958,2,Attchd,1052,2,0,GasA,Gd,Sawyer
100000,8520,Gd,5,968,5,1923,2006,2,Detchd,968,1,0,GasA,TA,OldTown
177000,2117,Gd,6,1525,5,2000,2000,2,Detchd,756,2,0,GasA,Gd,Somerst
200100,7588,TA,7,1802,9,1920,1950,1,Detchd,793,1,0,GasA,TA,Crawfor
120000,9060,TA,5,1340,7,1957,2006,1,Attchd,0,1,0,GasA,TA,Edwards
200000,11426,TA,7,2082,6,2003,2003,2,Detchd,1362,2,0,GasA,Gd,OldTown
127000,7438,TA,5,1252,5,1908,1991,2,Attchd,504,1,0,GasA,TA,BrkSide
173000,9947,TA,7,1217,6,1990,1991,2,Attchd,1188,2,0,GasA,Gd,Mitchel
135000,10410,TA,5,1656,8,1916,1987,1,Detchd,660,2,0,GasA,TA,OldTown
153337,7018,TA,5,1224,6,1979,1979,2,Detchd,1086,0,0,GasA,TA,SawyerW
286000,4923,Gd,8,1593,5,2001,2002,2,Attchd,1593,1,0,GasA,Ex,StoneBr
315000,10570,Gd,8,2727,10,1932,1994,2,Detchd,853,2,0,GasA,Gd,Crawfor
184000,7472,TA,7,1479,7,1972,2004,2,Attchd,725,1,0,GasA,Gd,NAmes
192000,9017,Gd,7,1431,6,1999,1999,2,Attchd,1431,2,0,GasA,Gd,CollgCr
130000,2522,Gd,7,1709,7,2004,2004,2,Detchd,970,2,0,GasA,Gd,Edwards
127000,7180,TA,5,864,5,1972,1972,1,Detchd,864,1,0,GasA,TA,CollgCr
148500,2280,TA,6,1456,7,1976,1976,2,Attchd,855,2,0,GasA,TA,NPkVill
311872,9416,Ex,7,1726,8,2007,2007,3,Attchd,1726,2,0,GasA,Ex,Somerst
104000,5520,TA,6,2229,8,1912,1950,0,Not Applicable,755,1,0,GasA,TA,OldTown
274900,9591,Gd,8,1713,7,2004,2005,3,Attchd,1713,2,0,GasA,Ex,NridgHt
140000,8546,TA,4,1121,5,2003,2004,2,Attchd,1121,2,0,GasA,TA,Edwards
171500,10125,TA,6,1279,6,1977,1977,2,Detchd,1196,2,0,GasA,TA,Mitchel
112000,7000,TA,6,1310,6,1924,1950,1,Attchd,617,2,0,GasA,TA,OldTown
149000,4438,Gd,6,848,3,2004,2004,2,Attchd,848,1,0,GasA,Gd,CollgCr
110000,3500,TA,5,1284,5,1947,1950,1,Detchd,720,1,0,GasA,TA,OldTown
180500,11851,TA,7,1442,5,1990,1990,2,Attchd,1424,2,0,GasA,TA,Gilbert
143900,13673,TA,5,1696,8,1962,1962,1,Attchd,1140,1,0,GasA,TA,Sawyer
141000,12493,TA,4,1100,6,1960,1960,1,Attchd,1100,1,0,GasA,TA,NAmes
277000,14364,Gd,7,2062,7,1988,1989,2,Attchd,1157,2,0,GasA,TA,SawyerW
145000,8250,TA,6,1092,6,1964,1964,2,Attchd,1092,1,0,GasA,TA,NAmes
98000,5604,TA,5,864,5,1925,1950,0,Not Applicable,864,1,0,GasA,TA,Edwards
186000,10420,TA,6,1212,6,2009,2009,2,Attchd,1212,2,0,GasA,Gd,Edwards
252678,8640,TA,7,1852,7,2009,2009,2,Attchd,900,2,0,GasA,Gd,Somerst
156000,13568,TA,5,990,5,1995,1995,2,Attchd,990,1,0,GasA,TA,CollgCr
161750,10900,TA,6,1392,6,1977,1977,1,Attchd,689,1,0,GasA,TA,CollgCr
134450,10011,TA,5,1236,6,1957,1996,1,Attchd,1070,1,0,GasA,Gd,NAmes
210000,8450,Gd,7,1436,8,2004,2004,2,Attchd,1436,2,0,GasA,Gd,CollgCr
107000,9906,TA,4,1328,8,1925,1950,1,Detchd,686,1,0,GasA,TA,OldTown
311500,15660,Gd,7,1954,8,1939,2006,2,Attchd,798,1,0,GasA,Gd,Crawfor
167240,3010,Gd,7,1248,5,2005,2006,2,Attchd,1248,2,0,GasA,Gd,Blmngtn
204900,8990,Gd,7,1498,5,2006,2006,2,Attchd,1498,2,0,GasA,Gd,CollgCr
200000,8068,Gd,6,2267,8,2002,2002,2,Not Applicable,1010,2,0,GasA,Gd,Gilbert
179900,11475,TA,6,1552,6,1975,1975,2,Attchd,713,2,0,GasA,TA,NWAmes
97000,10500,TA,4,864,4,1971,1971,2,Detchd,864,1,0,GasA,TA,NAmes
386250,13472,Ex,10,2392,8,2003,2003,3,Attchd,2392,2,0,GasA,Ex,NridgHt
112000,1680,TA,5,1302,6,1971,1971,1,Detchd,630,2,0,GasA,TA,BrDale
290000,9950,Gd,7,2520,9,1995,1995,3,Attchd,1203,2,0,GasA,Gd,NoRidge
106000,1869,TA,6,987,5,1970,1970,1,Detchd,483,1,0,GasA,TA,BrDale
125000,8521,TA,5,912,5,1967,1967,1,Detchd,912,1,0,GasA,TA,Sawyer
192500,3182,Gd,7,1555,7,2005,2006,2,Attchd,1373,2,0,GasA,Gd,Blmngtn
148000,8760,TA,6,1194,6,1959,1959,1,Attchd,1194,1,0,GasA,TA,NAmes
403000,15138,Gd,8,2794,9,1995,1996,3,Attchd,1462,2,0,GasA,Ex,NoRidge
94500,1680,TA,6,987,5,1972,1972,1,Attchd,483,1,0,GasA,TA,BrDale
128200,10650,TA,5,894,5,1976,1976,1,Attchd,894,1,0,GasA,TA,CollgCr
89500,1680,TA,6,987,5,1971,1971,1,Detchd,483,1,0,GasA,TA,BrDale
185500,8773,Gd,7,1414,6,2004,2004,2,Attchd,1414,2,0,GasA,Gd,CollgCr
194500,9453,Gd,7,1744,7,1993,2003,2,Attchd,996,2,0,GasA,Gd,SawyerW
318000,12030,Ex,8,1694,7,2007,2007,3,Attchd,1694,2,0,GasA,Gd,NridgHt
113000,8741,TA,6,1487,7,1945,1950,1,Detchd,735,1,0,GasA,TA,Edwards
262500,9000,Gd,8,1566,7,2008,2008,2,Attchd,1566,2,0,GasA,Gd,Somerst
110500,3880,TA,5,866,4,1945,1997,0,Not Applicable,686,1,0,GasA,Gd,OldTown
79000,5000,TA,5,1440,6,1900,1950,1,Attchd,540,1,0,GasA,TA,OldTown
120000,10762,TA,6,1217,6,1980,1980,1,Attchd,626,1,0,GasA,TA,SawyerW
205000,8880,Gd,7,2110,8,1994,2002,2,Attchd,948,2,0,GasA,Gd,SawyerW
241500,10400,TA,7,1872,6,1988,1988,2,Attchd,1845,2,0,GasA,TA,NWAmes
137000,9142,TA,6,1928,9,1910,1950,1,Detchd,1020,2,0,GasA,Fa,OldTown
140000,11310,TA,6,1375,5,1954,1954,2,Attchd,1367,1,0,GasA,TA,NAmes
180000,11317,Gd,7,1668,8,2003,2003,2,Attchd,840,2,0,GasA,Gd,CollgCr
76500,5350,TA,3,1306,6,1940,1966,0,Not Applicable,728,1,0,GasA,Fa,BrkSide
235000,4750,Gd,8,1625,5,2006,2007,2,Attchd,1573,2,0,GasA,Gd,Crawfor
173000,8366,Gd,6,1640,6,2004,2004,2,Attchd,798,2,0,GasA,Gd,SawyerW
158000,9350,TA,6,1302,7,1964,1991,1,Attchd,1302,2,0,GasA,Gd,NAmes
145000,8400,TA,5,1314,5,1957,1957,1,Attchd,1314,1,0,GasA,TA,NAmes
230000,8738,Gd,7,2291,8,1999,1999,2,Not Applicable,975,2,0,GasA,Gd,Gilbert
207500,8791,Gd,6,1728,7,2003,2003,2,Attchd,864,2,0,GasA,Gd,Somerst
220000,8814,Gd,7,1604,8,2006,2006,2,Attchd,1604,2,0,GasA,Gd,CollgCr
231500,12435,Gd,7,1792,7,2001,2001,2,Attchd,963,2,0,GasA,Gd,CollgCr
97000,12702,TA,5,882,4,1956,1956,1,Detchd,0,1,0,GasA,TA,OldTown
176000,19296,TA,6,1382,6,1962,1962,2,Attchd,1362,1,0,GasA,TA,NAmes
276000,9588,Gd,8,2574,10,2007,2007,3,Not Applicable,1482,2,0,GasA,Ex,CollgCr
151000,8471,TA,6,1212,6,1977,1995,2,Attchd,506,1,0,GasA,TA,Sawyer
130000,5500,TA,5,1316,6,1929,2001,2,Detchd,926,1,0,GasA,TA,OldTown
73000,5232,TA,5,764,4,1925,2004,2,Detchd,680,1,0,GasA,TA,OldTown
175500,12090,TA,6,1422,7,1981,1981,2,Attchd,1422,2,0,GasA,Gd,NWAmes
185000,11207,TA,6,1511,8,1997,1997,2,Attchd,802,2,0,GasA,TA,Gilbert
179500,8400,TA,5,2192,8,1939,1997,1,Detchd,720,2,0,GasA,Gd,SWISU
120500,6900,TA,5,778,4,1940,1955,1,Detchd,740,1,0,GasA,TA,IDOTRR
148000,7917,TA,6,1113,6,1976,1976,1,Attchd,1143,1,0,GasA,TA,Edwards
266000,10728,Gd,8,1939,8,2006,2006,3,Attchd,1095,2,0,GasA,Gd,Somerst
241500,39104,TA,7,1363,5,1954,2005,2,Attchd,1385,1,0,GasA,TA,ClearCr
290000,11764,Gd,8,2270,9,1999,2007,3,Attchd,1152,2,0,GasA,Gd,NoRidge
139000,9600,TA,6,1632,6,1958,1988,1,Attchd,1240,2,0,GasA,TA,NAmes
124500,8314,TA,5,816,5,1982,1982,1,Attchd,816,1,0,GasA,TA,Mitchel
205000,7264,Gd,7,1548,5,1925,2007,2,Detchd,952,2,0,GasW,Ex,BrkSide
201000,9196,Gd,7,1560,7,2003,2003,2,Attchd,1560,2,0,GasA,Gd,Mitchel
141000,19138,TA,4,864,4,1951,1951,2,Detchd,864,1,0,GasA,TA,Gilbert
415298,14450,Ex,9,2121,8,2006,2007,3,Attchd,2121,2,0,GasA,Ex,NridgHt
192000,10005,TA,7,2022,8,1977,1977,2,Attchd,1160,2,0,GasA,TA,ClearCr
228500,11287,Gd,7,1982,7,1989,1989,2,Attchd,807,2,0,GasA,Gd,SawyerW
185000,7200,Gd,6,1262,5,2006,2006,2,Attchd,1262,2,0,GasA,Gd,Somerst
207500,5063,Gd,7,1314,6,2007,2008,2,Attchd,1314,2,0,GasA,Gd,NridgHt
244600,9612,Gd,8,1468,6,2008,2009,3,Attchd,1468,2,0,GasA,Gd,Somerst
179200,8012,Gd,6,1575,5,1992,1992,2,Attchd,1575,2,0,GasA,Gd,SawyerW
164700,4251,Gd,7,1250,5,2006,2007,2,Detchd,625,2,0,GasA,Gd,Somerst
159000,9786,TA,6,1734,7,1962,1981,2,Attchd,912,1,0,GasA,Gd,NAmes
88000,8125,TA,4,858,5,1971,1971,0,Not Applicable,858,1,0,GasA,TA,NAmes
