Series ID,Series Name,Units,Region Name,Region Code,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,Ave_Before,Ave_After
CHAR851UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Charlottesville, VA",16820,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3,2.6,2.8
CHAT847UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Chattanooga, TN-GA",16860,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.38,3.34
CHEY956UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cheyenne, WY",16940,3.5,3.6,3.6,3.7,3.6,3.7,3.6,3.5,3.4,3.3,3.6,3.5
CHIC917UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Chicago-Naperville-Elgin, IL-IN-WI",16980,5.3,5.2,5.2,5.1,5.1,5,5,5,5.1,5,5.18,5.02
CHIC006UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Chico, CA",17020,6.1,6.1,6.1,6.1,6.1,5.9,5.8,5.7,5.7,5.8,6.1,5.78
CINC139UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cincinnati, OH-KY-IN",17140,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.5,4.6,4.6,4.36,4.52
CLHUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Clarksville, TN-KY",17300,4.2,4.3,4.4,4.4,4.4,4.4,4.3,4.2,4.1,4.1,4.34,4.22
CLEV447UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cleveland, TN",17420,3.9,4,4.1,4.1,4,4,3.9,3.8,3.7,3.7,4.02,3.82
CLEV439UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cleveland-Elyria, OH",17460,4.1,4,3.9,3.8,3.8,,,,,,3.92,#DIV/0!
COEU616UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Coeur d'Alene, ID",17660,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.5,4.42
COLL748UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"College Station-Bryan, TX",17780,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5,3.48
COLO808UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Colorado Springs, CO",17820,4.5,4.6,4.7,4.7,4.6,4.7,4.8,4.7,4.8,4.8,4.62,4.76
CLMUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Columbia, MO",17860,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.3,3.4,3.14,3.26
COLU945UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Columbia, SC",17900,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4.1,4.1,4.1,4.3,4.12
COLU913UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Columbus, GA-AL",17980,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.16,4.1
COLU018UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Columbus, IN",18020,4.3,4.3,4.3,4.2,4.2,4.2,4.1,3.8,3.6,3.5,4.26,3.84
COLU139UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Columbus, OH",18140,4.1,4.1,4.1,4.1,4.1,4.2,4.3,4.4,4.5,4.6,4.1,4.4
CORP548UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Corpus Christi, TX",18580,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.42,4.3
CORV741UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Corvallis, OR",18700,3.6,3.7,3.8,3.8,3.8,3.9,4,4,3.9,3.9,3.74,3.94
CUMB024UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Cumberland, MD-WV",19060,3.8,3.8,3.9,4,4,,,,,,3.9,#DIV/0!
DALL148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dallas-Fort Worth-Arlington, TX",19100,4,4,4,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.96,3.84
DALT113UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dalton, GA",19140,4.1,4,4,4,4,3.9,3.8,3.8,3.7,3.7,4.02,3.78
DANV117UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Danville, IL",19180,6.6,6.7,6.7,6.6,6.4,,,,,,6.6,#DIV/0!
DAVE317UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Davenport-Moline-Rock Island, IA-IL",19340,5,5,5,4.9,4.9,4.8,4.7,4.5,4.4,4.5,4.96,4.58
DAYT339UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dayton, OH",19380,4.7,4.7,4.5,4.5,4.5,,,,,,4.58,#DIV/0!
DECA401UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Decatur, AL",19460,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.88,2.78
DECA517UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Decatur, IL",19500,5.9,5.7,5.7,5.6,5.6,5.5,5.5,5.4,5.3,5.3,5.7,5.4
DELT612UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Deltona-Daytona Beach-Ormond Beach, FL",19660,4,4,4,4,4,4,4.1,4.1,4.2,4.2,4,4.12
DENV708UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Denver-Aurora-Lakewood, CO",19740,4.5,4.6,4.6,4.6,4.6,4.6,4.7,4.6,4.7,4.7,4.58,4.66
DESM719UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Des Moines-West Des Moines, IA",19780,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.6,3.18,3.4
DETR826UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Detroit-Warren-Dearborn, MI",19820,4.8,4.9,5,5,5,5.1,5.2,5.3,5.1,5,4.94,5.14
DOTH001UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dothan, AL",20020,3.2,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.34,3.3
DOVE110UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dover, DE",20100,4,4,3.9,3.9,4,3.9,4,4.1,4.2,4.3,3.96,4.1
DUBU219UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Dubuque, IA",20220,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.4,3.5,3.6,3.18,3.42
DULU227UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Duluth, MN-WI",20260,3.7,3.6,3.5,3.5,3.5,3.5,3.6,3.7,3.8,3.9,3.56,3.7
DURH537UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Durham-Chapel Hill, NC",20500,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.18
EAUC755UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Eau Claire, WI",20740,2.9,3,3,3,3,3.1,3.1,3.1,3.1,3.2,2.98,3.12
ELCE906UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"El Centro, CA",20940,18.5,18.6,18.7,18.7,18.6,18.6,18.5,18.5,18.5,18.6,18.62,18.54
ELZUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Elizabethtown-Fort Knox, KY",21060,5.4,5.5,5.6,5.6,5.6,5.5,5.5,5.5,5.4,5.2,5.54,5.42
ELKH118UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Elkhart-Goshen, IN",21140,5.1,5,5,4.9,4.9,4.8,4.6,4.3,4.1,3.9,4.98,4.34
ELMI336UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Elmira, NY",21300,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.82,3.76
ELPA348UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"El Paso, TX",21340,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.2,4.14
ERIE542UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Erie, PA",21500,3.8,3.9,4,4,4,4,4,4.1,4.1,4.1,3.94,4.06
EUGE641UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Eugene, OR",21660,4.2,4.3,4.4,4.4,4.4,4.5,4.5,4.6,4.5,4.6,4.34,4.54
EVNUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Evansville, IN-KY",21780,4,4,4.1,4.1,4.1,4,3.9,3.7,3.5,3.4,4.06,3.7
FAIR802UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fairbanks, AK",21820,4.2,4.2,4.2,4.2,4.2,4.1,4,3.9,3.9,3.9,4.2,3.96
FARG038UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fargo, ND-MN",22020,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.4,2.46
FARM135UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Farmington, NM",22140,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.6,4.6,4.88,4.7
FAYE137UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fayetteville, NC",22180,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.5,4.5,4.6,4.52,4.5
FASUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fayetteville-Springdale-Rogers, AR-MO",22220,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.74,2.86
FLAG304UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Flagstaff, AZ",22380,4.1,4.1,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.3,4.14,4.2
FLIN426UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Flint, MI",22420,5.9,6.1,6.2,6.2,6.2,6.3,6.6,6.7,6.8,6.8,6.12,6.64
FLOR545UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Florence, SC",22500,4.9,4.9,4.8,4.8,4.8,4.6,4.5,4.5,4.5,4.4,4.84,4.5
FLOR501UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Florence-Muscle Shoals, AL",22520,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.4,3.48,3.46
FOND555UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fond du Lac, WI",22540,2.9,3,3,3,3,3,3,3,3,3,2.98,3
FORT608UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fort Collins, CO",22660,4.3,4.4,4.5,4.5,4.4,4.5,4.5,4.5,4.6,4.6,4.42,4.54
FTSUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fort Smith, AR-OK",22900,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5,3.48
FORT018UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fort Wayne, IN",23060,3.9,4,4.1,4.1,4,4,3.9,3.7,3.5,3.4,4.02,3.7
FRES406UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Fresno, CA",23420,8,8,7.9,7.9,7.9,7.8,7.8,7.8,7.8,7.9,7.94,7.82
GADS401UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Gadsden, AL",23460,3.4,3.6,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.6,3.5
GAIN512UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Gainesville, FL",23540,3.8,3.9,3.9,3.9,3.9,3.9,4,4,4.1,4.2,3.88,4.04
GAIN513UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Gainesville, GA",23580,3,2.9,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.92,2.86
GLEN036UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Glens Falls, NY",24020,3.6,3.5,3.5,3.5,3.5,3.4,3.5,3.4,3.4,3.4,3.52,3.42
GOLD137UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Goldsboro, NC",24140,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.6,3.6,3.6,3.66,3.58
GRAN238UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Grand Forks, ND-MN",24220,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.52,2.5
GRAN308UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Grand Junction, CO",24300,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.78,4.84
GRAN326UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Grand Rapids-Wyoming, MI",24340,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.6,4.6,4.7,4.36,4.56
GREA530UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Great Falls, MT",24500,3,3,2.9,2.9,2.9,2.8,2.7,2.6,2.6,2.7,2.94,2.68
GREE508UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Greeley, CO",24540,4.8,4.9,4.9,4.9,4.9,4.9,5,4.9,5,5,4.88,4.96
GREE555UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Green Bay, WI",24580,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.74,2.82
GREE637UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Greensboro-High Point, NC",24660,4.1,4,4,4,4,4,3.9,3.9,4,4,4.02,3.96
GREE737UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Greenville, NC",24780,4,4,4,4,4,4,3.9,3.9,4,3.9,4,3.94
GREE845UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Greenville-Anderson-Mauldin, SC",24860,4.2,4.2,4.1,4,4,3.9,3.9,3.8,3.8,3.8,4.1,3.84
GULF028UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Gulfport-Biloxi-Pascagoula, MS",25060,3.1,3.2,3.3,3.3,3.3,3.3,3.4,3.6,3.7,3.7,3.24,3.54
HAGE124UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hagerstown-Martinsburg, MD-WV",25180,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.2,3.3,3.3,3.4,3.26
HANF206UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hanford-Corcoran, CA",25260,9,9,9,9,9,8.9,8.8,8.7,8.8,8.9,9,8.82
HARR442UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Harrisburg-Carlisle, PA",25420,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.3,3.44
HARR551UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Harrisonburg, VA",25500,2.9,2.8,2.8,2.8,2.8,2.9,3,3.1,3.2,3.3,2.82,3.1
HATT628UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hattiesburg, MS",25620,3.1,3.3,3.4,3.4,3.4,3.4,3.5,3.7,3.7,3.7,3.32,3.6
HICK837UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hickory-Lenoir-Morganton, NC",25860,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.64,3.6
HINE913UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hinesville, GA",25980,4,4,4,3.9,4,3.9,3.9,4,4,4,3.98,3.96
HSPUR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Hot Springs, AR",26300,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.68,3.76
HOUM322UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Houma-Thibodaux, LA",26380,3.9,4.1,4.1,4.1,4.1,4,4,4,3.9,4,4.06,3.98
HOUS448UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Houston-The Woodlands-Sugar Land, TX",26420,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.46,4.32
HUNT554UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Huntington-Ashland, WV-KY-OH",26580,5,5.1,5.1,5.1,5.1,5.1,5,4.9,4.9,4.8,5.08,4.94
HUNT601UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Huntsville, AL",26620,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.78,2.78
IDAH816UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Idaho Falls, ID",26820,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.12
INDI918UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Indianapolis-Carmel-Anderson, IN",26900,4,4,4,4,4,4,3.9,3.7,3.5,3.4,4,3.7
IOWA919UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Iowa City, IA",26980,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.8,2.9,2.4,2.66
ITHA036UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ithaca, NY",27060,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.2,3.2,3.3,3.24
JACK126UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Jackson, MI",27100,5.1,5.2,5.3,5.3,5.3,5.5,5.6,5.7,5.7,5.8,5.24,5.66
JACK128UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Jackson, MS",27140,3,3.1,3.2,3.2,3.2,3.2,3.4,3.5,3.6,3.6,3.14,3.46
